город;	школа;
 Самара;	ЛФПГ;
  Раменское;	гимназия 2;
	лицей НИУ ВШЭ;
 Щелково;	Щёлковская гимназия;
 Озерск;	лицей 39;
	
 Санкт-Петербург;	лицей 384;
 1580;	
 Долгопрудный;	лицей 11;
	
	
	
	
 Москва ;	СУНЦ МГУ;
	
 Санкт-Петербург;	школа 18;
	
 Санкт-Петербург;г. Санкт-Петербург;	лицей 30;
	
	
 Нижний Новгород;	школа 187;
 Белгород;	9;
	
 Пенза;	53;
	
 Москва ;	1551;
 2;	
 Тамбов;	лицей 14;
	
 Самара;	Самарский лицей информационных технологий;
	
	
 Пермь;	школа 9;
 Москва;г. Москва;	школа 2086;
 Москва;Москва ;	57;
	
	
 Москва;	гимназия 1516;
	2007;
	2;
	СУНЦ;
	57;ЦО 57;
	
	
	школа 1411;
	
	
 Железнодорожный;	гимназия 2;
 Зеленоград;	лицей 1557;
 г. Санкт-Петербург;Василеостровский;	Академическая Гимназия СПбГУ;АГ;
 Бургас;	
 Тихвин;	лицей 8;
 Вологда;	
	
	
	
	
Ижевск;	лицей 29;
	
 Великий Новгород;	гимназия 4;
	
	
 Самара;	
 Великий Новгород;	гимназия 4;
 Саранск;	Республиканский лицей - Центр для одаренных детей;
 1543;	
 Москва;	
	
 Санкт-Петербург;	533;
 Витебск;	гимназия 2;
	
 Санкт-Петербург;	лицей 239;
	
 СПб;	
	
 2007;	
	
 Челябинск;Челябинск ;	лицей 31;
 Челябинск;	лицей 31;
	
	
	
	
 Санкт-Петербург;	АГ СПбГУ;
 г. Москва;	лицей 1557;
	2007;
	
 Сыктывкар;	ШИ РК КРФМЛИ;
	
 Санкт-Петербург;	105;
 Новороссийск;	лицей «Морской технический»;
 Новороссийск;	лицей «Морской технический»;
 Новороссийск;	лицей "Морской Технический";Маоу лицей "Морской технический";
 Новороссийск;	
Черноголовка; ;	82;
 Москва ;	лицей 1574;
 Долгопрудный;	
	
 Москва ;	1557;
 Химки ;	11;
 Чебоксары;	3;
 Колпино;	гимназия 402;
	
	
 Новополоцк;	школа 12;
 179;	
 Москва;	
	
	
 Уфа;	гимназия 3;
	
 Долгопрудный;	лицей 11;
	
 Гродно;	лицей 1;
 Минск;	
 Ноябрьск;	1;
 Магнитогорск;	Лицей при МаГУ;
 Подольск;	школа 29;
	
	57;
	
	
 Москва ;	2;
	
 Тамбов;	14;
	
	
	
 Саров;Саров ;	гимназия 2;
	
 г. Челябинск;	ШИ "ЧОЛИ";
	
	
	
 Тольятти;	лицей 67;
 Москва;	2045;
 Санкт-Петербург;	гимназия 272;
 Сергиев Пасад;	ФМЛ;
	
 Астана;	
 Москва;	лицей 1580;
	
	
	
	
 171;	
 Уфа;Уфа ;	гимназия 93;
	
 Москва ;	57;
 Уфа;	гимназия 93;
 п. Юность;	школа-интернат МИД РФ;Средняя школа-интернат МИД РФ;
	
	
	
 Жуковский;Москва;	14;
 Красноярск;	школа 145;
	
	
	
 Москва;	школа 218;
	
 Москва;	СУНЦ МГУ;
	
Москва;	СУНЦ МГУ;
	
	
 218;	
	
 Екатеринбург;	СУНЦ УрФУ;
	
 Смоленск;	школа-интернат им. Кирилла и Мефодия;"школа-интернат им.Кирилла и Мефодия";
	
 Санкт-Петербург;	56;
 Санкт-Петербург;	56;
	
	
	
	
 Москва;	СУНЦ МГУ;
	
 Саратов;	лицей 1;
	
	
	
	
 Протвино;	гимназия;
	
 Санкт-Петербург;	лицей 239;
 Санкт-Петербург;Москва;	лицей 239;СУНЦ МГУ;
	
 г. Иркутск;	лицей 2;
 Черноголовка;	75;
 Москва;	57;
 Королёв;	ЛНИП;
	
	
	школа 1032;
 Минск;г. Минск;	гимназия 41;
	
 Санкт-Петербург;	Юношеская Математическая Школа;
	
 Тольятти;	39;гимназия 39;
	
 Тула;	гимназия 1;
	
 Смоленск ;	школа имени Кирилла и Мефодия;
 Смоленск ;	школа имени Кирилла и Мефодия;
 Санкт-Петербург;	лицей 30;
	
	
	
 Москва ;	1840;
 Москва;	ЦО 1296;
	
	
	
 зеленоград;Москва;	853;школа 853;
	
 СПб;	
Москва;	школа 1399;
 Нижний Новгород;	лицей 40;
	
	
 Москва;2086;Москва ;г. Москва;	школа 25;
 Мурманск; Мурманска;	гимназия 4;
	
