город	школа
 Элиста;	 МБОУ "Элистинский лицей";
 	 
 Набережные Челны;	 Гимназия №26;
 	 
 	 
 Санкт-Петербург;	 239;
 	 
 	 ГБОУ СОШ № 1411;
 	 
 	 
 	 
 	 
 	 
 Альметьевск;	 МАОУ лицей N 2;
 	 
 	 
 	 
 Саранск;	 ГБНОУ РМ «Республиканский лицей для одарённых детей»;
 Старый Оскол;	 24;МАОУ СОШ №24;
 	 
 Жуковский; 	лицей 14;
 Новоуральск; Екатеринбург;	 МБОУ Гимназия №41;СУНЦ УрФУ;
 Раменское;г. Раменское;	 гимназия;МОУ "Гимназия г.Раменское";
 село Цаган-Аман;	 Цаганаманская гимназия;
 	 
 с.Чапаево;	 МБОУ "Октемский лицей";
 	 
 	 
 	 
 	 
 Долгопрудный;	 АОУ физико-математический лицей №5;
 	 
 Чишмы;	 МБОУ Гимназия муниципального района Чишминский район Республики Башкортостан;
 Ижевск;	 МБОУ лицей №41;
 	 
 2;Москва;г. Москва;	 2;ГБОУ лицей "Вторая школа";ГБОУ Лицей "Вторая школа";
 	 
 Санкт-Петербург ;	 239;
 57;Москва;	 ЦО № 57;
 	 
 	 
 	 
 	 ГОУ лицей № 1580;
 	 
 	 
 	 
 Рыбинск;г. Рыбинск;Санкт-Петербург;	 2;лицей № 2;
 Курган;	 Гимназия 19;
 	 
 Москва;	 91;ФГБОУ СОШ № 91;
 1580;	 
 Москва;	 СУНЦ;СУНЦ МГУ;
 	 
 	 918;
 	 ГБОУ СОШ № 918;
 Санкт-Петербург;Санкт-Петербург ;	 ФМЛ №239;
 	 
 	 
 	 
 Уфа;	 МБОУ лицей №153;
 	 
 	 
 	 
 	 
 	 
 	 
 Иваново;	 МБОУ общеобразовательный лицей № 33;
 2007;Москва;	 2007;
 	 
 Плеханово;	 МБОУ СОШ №3;
 	 
 Москва;2007;	 ГБОУ Физматшкола 2007;школа № 2007;
 Москва;	 25;2086;
 Уфа;	 МБОУ Лицей №83;
 	 
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 ГБОУ Президентский физико-математический лицей №239;
 	 ГБОУ СОШ № 54;
 Москва;	 лицей 1574;
 	 
 	 1106;
 	 
 	 
 	 
 Саратов;	 МАОУ "Физико-технический Лицей №1";МАОУ (Физико-технический лицей №1);
 	 
 	 
 	 
 	 
 	 
 Санкт-Петербург;	 ГБОУ лицей № 533 Красногвардейского района Санкт-Петербурга;
 	 
 179;	 
 Елизово;	 МБОУ СОШ No2;
 	 
 Калининград;	 МАОУ гимназия №32;
 	 
 Санкт-Петербург;	 ГБОУ СОШ №292;ГОУ СОШ №292;
 Москва;	 ГБОУ СОШ 444;
 Кемерово;	 МБОУ "Гимназия №21";
 	 
 Тверь;	 МОУ СОШ №17;
 	 Интеллектуал;
 Саранск;	 Республиканский лицей - Центр для одаренных детей;
 	 
 	 
 Жуковский;	 10;
 	 
 	 
 	 
 	 
 	 
 Волжский;	 МБОУ СОШ № 30 им. Медведева С.Р.;
 Уфа;	 МБОУ Лицей №153;
 Тольятти;	 
 	 
 Великий Новгород;	 23;
 Санкт-Петербург;	 292;
 Санкт-Петербург;	 ГОУ Вторая Санкт-Петербургская гимназия;
 Санкт-Петербург;	 Лицей "Физико-техническая школа";
 	 
 1514;	 
 	 
 57;	 57;
 	 
 Москва;	 ГБОУ лицей №1535;
 Томск;	 
 	 
 	 
 Санкт-Петербург;	 
 Калуга;	 9;
 	 1310;
 	 
 	 
 Саратов;	  МАОУ "Физико-технический лицей №1";
 	 
 Киров;	 КФМЛ;
 Саратов;	 МАОУ "Физико-технический Лицей №1";Физико-технический лицей №1;
 57;	 1568;57;
 	 Школа "Интеллектуал", Москва;
 179;	 Школа 179, Москва;57;
 	 
 Москва;	 2007;
 	 
 	 
 	 
Волжский	МОУ СОШ №37
 	 
 Глазов;	 МОУ Физико-математический Лицей;
 Зеленоград;	 ГОУ Гимназия №1528;
 Череповец;	 Общеобразовательный лицей "АМТЭК";
 	 
 Ленинградская область;	 Сусанинская СОШ;
 	 
 	 
 	 
 	 
 Ангарск;	 
 	 
 	 
 Санкт-Петербург;	 ГБОУ Гимназия №261;
 Пущино;	 
 	 лицей 83;
 Тихвин;	 МОУ "СОШ №6";
 57;	 
 	 
 Владикавказ;	 МБОУ СОШ №38;
 Кингисепп;	 МБОУ "КСОШ №1";
